"","Strain","Well","Bact_score_mean","Mean_Bact_metf_0","Mean_Bact_metf_50","Mean_Bact_metf_100","Mean_Bact_metf_200","SD_Bact_metf_0","SD_Bact_metf_50","SD_Bact_metf_100","SD_Bact_metf_200","phylogroup","fasta","Strainname","Accession","Assembly","Annotation","Broadphenotype","PG","Plate_Well","Plate","Origin","Annotation_0mM","Annotation_50mM","phylogroup_Ctyping","mash_group_Ctyping","Discard","Notes"
"1","NT12001","G1",1.53705493958446,14.9989,11.5749,8.81376666666667,2.66546666666667,0.447549460953759,0.705331928952603,1.00028109216027,1.29388814946785,"A","NT12001_189.fasta","MG1655","PRJNA57779","189","189","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"2","NT12002","G2",1.51194461163733,9.4701,8.04066666666667,5.39,0.8876,0.339137538470751,1.16534366318839,0.796645774481984,0.753623672664281,"A","NT12002_188.fasta","MC4100","PRJEB4621","188","188","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"3","NT12003","G3",1.33114517171871,13.1465,9.30536666666667,6.67483333333333,1.5197,0.356122549131615,0.149147253857835,0.634051909021125,1.19862801986271,"A","NT12003_214.fasta","W3110","PRJEB20550","214","214","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"4","NT12004","G4",1.46614420062696,14.355,10.8187666666667,7.87403333333333,2.3537,0.658108722020914,0.894178267088467,0.496323285100884,1.53182811372556,"A","NT12004_22.fasta","BW25113","PRJNA257976","22","22","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"5","NT12005","G5",1.68574288684403,4.32883333333333,4.06316666666667,2.45036666666667,0.783766666666667,0.442400467148638,0.898048023957145,1.71976847666578,0.626321198214888,"A","NT12005_17.fasta","BL21(DE3)","PRJEA161949","17","17","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"6","NT12006","G6",1.13687853055748,10.0373666666667,7.07073333333333,4.20546666666667,0.135066666666667,1.41917679072529,0.835631978405167,1.41612475909905,0.102059067864317,"A","NT12006_215.fasta","DH5a","PRJEB20550","215","215","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"7","NT12007","G7",1.28903944520952,13.5546666666667,9.24656666666667,7.50383333333333,0.7221,1.97543155116378,0.478391934853979,0.24339910298383,0.568791455632027,"B2","NT12007_60.fasta","ED1a","PRJNA59379","60","60","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"8","NT12008","G8",1.14283287142899,15.3218666666667,10.5616333333333,6.63663333333333,0.0566333333333333,1.09101035894868,0.384260619024814,0.627455148463484,0.0908000183553579,"B1","NT12008_101.fasta","IAI01","PRJNA59377","101",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"9","NT12009","G9",1.31054205523421,5.71036666666667,5.0964,2.92243333333333,0.204833333333333,0.497101139943707,0.70403195950184,1.42126324561403,0.317954121428443,"A","NT12009_154.fasta","OP50","PRJNA49051","154",NA,"Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"10","NT12010","G10",0.991416668877862,15.0264,9.14376666666667,6.2699,0.198133333333333,2.0208415598458,0.796530786180504,1.0177653364111,0.163776992686193,"B2","NT12010_146.fasta","Nissle1917","PRJNA186643","146","146","Commensal strain","PG1","PG1_1","1","ECOREF","super_bio","normal","B2",NA,"No",NA
"11","NT12011","G11",1.20516651928543,15.9721,11.2480666666667,8.03773333333333,1.8899,1.15640878153013,0.836888178512119,1.01071461023047,1.23190897391,"B2","NT12011_132.fasta","MP1","PRJNA196008","132","132","Commensal strain","PG1","PG1_1","1","ECOREF","normal","biofilm","B2",NA,"No",NA
"12","NT12012","G12",1.10847972685942,17.4710333333333,12.2272666666667,7.2322,0.258233333333333,0.659110683674094,1.03124379432476,1.89729498760736,0.395705627118611,"A","NT12012_88.fasta","HS","PRJNA58393","88","88","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"13","NT12013","H1",1.27717646029174,14.6052666666667,9.80716666666667,7.20093333333333,2.508,0.839519507416792,0.95920444292827,0.728773025936974,1.74927258024586,"A","NT12013_22.fasta","BW38029","PRJNA257976","22","22","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"14","NT12014","H2",1.11127513034523,11.8613666666667,7.77063333333333,4.6857,1.07143333333333,0.572370145389619,0.398525210411253,0.124524254665507,0.996779500859309,"A","NT12014_22.fasta","CAG60056","PRJNA257976","22","22","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"15","NT12015","H3",1.17120198300689,11.8081666666667,8.7123,5.35373333333333,0.202166666666667,0.381380352579067,1.58684150752367,0.915759260577437,0.229933519377522,"E","NT12015_11.fasta","ATCC700728","PRJNA188364","11","11","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","E",NA,"No",NA
"16","NT12016","H4",1.33415103604453,16.1730333333333,10.9024666666667,8.42166666666667,2.65553333333333,0.621590173131247,1.06081497601294,0.617736394697069,1.2313866749861,"B2","NT12016_152.fasta","NRG857C","PRJNA161987","152","152","Pathogenic strain","PG1","PG1_1","1","ECOREF","normal","super_bio","B2",NA,"No",NA
"17","NT12017","A1",1.19507447132665,17.6968666666667,10.7896666666667,8.93506666666667,2.90606666666667,1.33457945935539,0.628125435986582,0.688231068270921,3.15076908124561,"A","NT12017_35.fasta","ECOR-01","PRJEB20550","35","35","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"18","NT12018","A2",1.11234855171307,19.7049333333333,12.8220333333333,7.8512,2.13835,1.08299136807887,1.22551786740681,0.818725253061123,0.308510688631691,"A","NT12018_216.fasta","ECOR-02","PRJEB20550","216","216","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"19","NT12019","A3",1.13252602229828,19.3800666666667,13.2911333333333,8.1484,1.5127,1.44594772496565,0.714065265457811,0.68003403591291,1.06640570609876,"A","NT12019_36.fasta","ECOR-02a","PRJEB20550","36",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"20","NT12020","A4",1.49822184945694,10.5511,10.31,6.4294,1.46596666666667,0.327838207047318,0.618777480197849,0.132070019307941,1.10541770536451,"A","NT12020_217.fasta","ECOR-04","PRJEB20550","217","217","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"21","NT12021","A5",1.55135075777192,10.0745333333333,8.5964,7.47413333333333,1.19023333333333,0.348149915027037,1.26849389829041,0.820534321849692,1.0396363995808,"A","NT12021_218.fasta","ECOR-04a","PRJEB20550","218",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"22","NT12022","A6",1.22118902439024,16.3721666666667,10.6666333333333,7.37146666666667,0.600133333333333,0.572353390252328,1.16400531069808,0.790566817753777,0.844076811275688,"A","NT12022_37.fasta","ECOR-06x","PRJEB20550","37","37",NA,"PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"23","NT12023","A7",1.28737185275683,16.8991,10.6677333333333,7.82746666666667,0.6152,0.667691298430643,0.477061739540422,1.22868287744777,0.836405398117444,"A","NT12023_38.fasta","ECOR-07x","PRJEB20550","38","38",NA,"PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"24","NT12024","A8",1.25167797421196,16.3069,9.37886666666667,6.9067,1.46676666666667,0.597461454823656,0.340182779301559,1.25238529215254,1.55192281165441,"A","NT12024_39.fasta","ECOR-08x","PRJEB20550","39","39",NA,"PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"25","NT12025","A9",1.06874909794342,14.2538666666667,7.84416666666667,4.6793,0.000333333333333333,1.86326076096003,0.262654456145966,1.28856374696792,0.000577350269189626,"A","NT12025_40.fasta","ECOR-09","PRJEB20550","40","40","Commensal strain","PG1","PG1_1","1","ECOREF","normal","super_bio","A",NA,"No",NA
"26","NT12026","A10",1.23006855549315,17.4873,11.5182,7.4287,1.12733333333333,0.400543493268834,0.411626578344985,0.388708682691807,0.604611613627569,"A","NT12026_41.fasta","ECOR-10","PRJEB20550","41","41","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"27","NT12027","A11",0.896429570600582,11.5172333333333,4.27926666666667,1.82463333333333,0.000133333333333333,0.167220822068705,0.389277488860239,1.47062475272699,0.00023094010767585,"A","NT12027_219.fasta","ECOR-11","PRJEB20550","219","219","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"28","NT12028","A12",1.04552818139934,13.4568666666667,8.33043333333333,5.73906666666667,3.33333333333333e-05,0.299488102156552,0.166267264767702,0.14386779811109,5.77350269189626e-05,"A","NT12028_42.fasta","ECOR-12","PRJEB20550","42","42","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"29","NT12029","B1",1.74581615726979,12.1778,10.3160333333333,8.24796666666667,2.6962,0.491204397374454,0.718606375795076,0.699038556399669,1.07376529558372,"A","NT12029_43.fasta","ECOR-13","PRJEB20550","43","43","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"30","NT12030","B2",1.17162112693243,10.6537,8.0343,4.25516666666667,0.192633333333333,0.533530252188196,0.694052649299748,0.21492259847055,0.267690984781582,"A","NT12030_220.fasta","ECOR-14","PRJEB20550","220","220","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"31","NT12031","B3",1.01447015113044,16.4361333333333,10.1459666666667,6.37743333333333,0.150566666666667,1.11443026400638,0.58965502909187,1.69969348511234,0.0557042487906742,"A","NT12031_44.fasta","ECOR-15","PRJEB20550","44","44","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"32","NT12032","B4",1.05638615656673,17.8318,11.354,6.8269,0.656366666666667,0.501527895535234,0.970685567009215,1.06913435544837,0.197626170669103,"A","NT12032_221.fasta","ECOR-16","PRJEB20550","221","221","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"33","NT12033","B5",1.01638875599482,17.1398,11.2911,6.05773333333333,0.0718666666666667,0.507638808603124,0.948161109727667,0.67033854382195,0.0569905547729914,"A","NT12033_45.fasta","ECOR-17","PRJEB20550","45","45","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"34","NT12034","B6",1.25400174321349,13.7294333333333,9.87096666666667,6.01663333333333,1.32913333333333,0.358334401548795,0.408303861521458,0.854045633050912,0.861378861670829,"A","NT12034_46.fasta","ECOR-18","PRJEB20550","46","46","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"35","NT12035","B7",1.01108837687434,16.8615,8.8728,5.92156666666667,2.2541,0.809073735823874,0.325281001597081,0.49605840717937,0.440782985152558,"A","NT12035_47.fasta","ECOR-19","PRJEB20550","47","47","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"36","NT12036","B8",1.22957311018323,13.5952333333333,8.9337,6.1858,1.59683333333333,0.451892800709785,0.719398943563306,1.00292311270605,0.844883212836741,"A","NT12036_48.fasta","ECOR-20","PRJEB20550","48","48","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"37","NT12037","B9",1.43423811681401,12.6537333333333,9.776,6.8104,1.56206666666667,0.308518011359682,0.0665094730094897,0.690289004692962,0.877569400864304,"A","NT12037_222.fasta","ECOR-21","PRJEB20550","222","222","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"38","NT12038","B10",1.30893112519398,12.0503666666667,8.09993333333333,5.59756666666667,2.0756,0.263434134715555,0.174400697628574,0.233403306174813,0.336653842990096,"A","NT12038_49.fasta","ECOR-22x","PRJEB20550","49","49",NA,"PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"39","NT12039","B11",1.566090279127,14.4116,11.3674,8.42506666666667,2.7774,0.568723685105518,0.426981065153948,0.579524773701119,1.38100950394992,"A","NT12039_223.fasta","ECOR-23x","PRJEB20550","223","223",NA,"PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"40","NT12040","B12",1.2277724336952,12.1283333333333,8.49733333333333,5.79783333333333,0.595666666666667,0.801368019909288,1.10045271290198,0.780987844549026,0.585588032095374,"A","NT12040_50.fasta","ECOR-24","PRJEB20550","50","50","Commensal strain","PG1","PG1_1","1","ECOREF","normal","biofilm","A",NA,"No",NA
"41","NT12041","C1",1.27391944756806,16.8370666666667,10.6104333333333,7.9861,2.85253333333333,0.793398338373186,0.830188510721109,1.43556673129465,1.53947260558067,"A","NT12041_224.fasta","ECOR-25","PRJEB20550","224","224","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"42","NT12042","C2",1.50025475771201,14.9161333333333,10.7010666666667,7.74543333333333,3.9315,0.881798448248427,0.586039182421562,0.580472026314218,1.21172645427918,"B1","NT12042_225.fasta","ECOR-26","PRJEB20550","225","225","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"43","NT12043","C3",1.18425499929374,13.2152,9.5139,5.7906,0.345666666666667,0.698798175441236,0.802640025166948,0.995351691614577,0.274000389294127,"B1","NT12043_226.fasta","ECOR-27","PRJEB20550","226","226","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"44","NT12044","C4",1.2537454905567,11.7808333333333,8.82616666666667,5.02776666666667,0.916233333333333,0.726611796858084,1.26349133092924,0.745499572993394,0.116779978306786,"B1","NT12044_51.fasta","ECOR-28","PRJEB20550","51","51","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"45","NT12045","C5",0.921285198623301,14.2950666666667,8.68773333333333,4.1881,0.294,0.134503172205466,0.641677351426192,1.22966312866573,0.324665997603691,"B1","NT12045_52.fasta","ECOR-29","PRJEB20550","52","52","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"46","NT12046","C6",1.01393842688192,14.2053333333333,7.0024,4.66363333333333,2.7373,0.256386082565597,0.249559431799321,0.783538463212454,0.963598635324895,"A","NT12046_227.fasta","ECOR-14a","PRJEB20550","227",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","biofilm","A",NA,"No",NA
"47","NT12047","C7",1.10874931306795,10.9787666666667,6.16033333333333,4.2654,1.74696666666667,0.301195789036523,0.365481686727711,0.710107858004684,1.00583721512645,"A","NT12047_228.fasta","ECOR-14b","PRJEB20550","228",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"48","NT12048","C8",0.924892786031552,12.1874666666667,6.56536666666667,4.48186666666667,0.224866666666667,0.262159213710549,0.553628551768542,0.315773420878537,0.198431759890733,"B2","NT12048_229.fasta","ECOR-32x","PRJEB20550","229","229",NA,"PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"49","NT12049","C9",1.24584321797011,15.9197666666667,10.4827666666667,7.8092,1.54156666666667,0.976622579778562,0.490139697773332,1.39914134739847,1.22177792308313,"A","NT12049_53.fasta","ECOR-01a","PRJEB20550","53",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"50","NT12050","C10",0.92638928453082,17.2013,9.8351,5.78913333333333,0.310866666666667,0.773501137685008,0.56906586613502,0.784736008689122,0.359793195229334,"A","NT12050.fasta","ECOR-34",NA,"NT12050",NA,NA,"PG1","PG1_1","1","ECOREF","biofilm","normal","A",NA,"No",NA
"51","NT12051","C11",0.914049083420228,17.2943666666667,8.4564,5.6562,1.6953,0.688758196563447,0.797376529627002,0.419967570176555,0.921590304853518,"A","NT12051_54.fasta","ECOR-19a","PRJEB20550","54",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"52","NT12052","C12",1.51042498921899,9.97123333333333,7.86923333333333,5.68936666666667,1.5022,0.962206621954626,0.494352731694014,0.322289967782637,1.48398555585962,"F","NT12052_231.fasta","ECOR-36x","PRJEB20550","231","231",NA,"PG1","PG1_1","1","ECOREF","normal","super_bio","F",NA,"No",NA
"53","NT12053","D1",1.45587391031699,15.0961333333333,11.8489333333333,8.4329,1.69623333333333,1.22994348379644,0.216345795737595,1.11016950057187,1.01836476929111,"F","NT12053_55.fasta","ECOR-38a","PRJEB20550","55",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","F",NA,"No",NA
"54","NT12054","D2",1.31946641944788,16.18,11.4047333333333,7.825,2.11923333333333,0.225064812887309,1.25227465970263,0.867492962507478,1.57783703953651,"F","NT12054_232.fasta","ECOR-38","PRJEB20550","232","232","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","F",NA,"No",NA
"55","NT12055","D3",1.3378644417362,11.0225666666667,9.44476666666667,5.08043333333333,0.2215,2.35045168496043,0.56375580115271,0.59330479800296,0.174268844031284,"F","NT12055_233.fasta","ECOR-39","PRJEB20550","233","233","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","F",NA,"No",NA
"56","NT12056","D4",1.07537411181046,14.3785,9.3124,5.6312,0.518666666666667,1.86218794969788,0.954910608381748,1.02583959759799,0.378262928838306,"F","NT12056_234.fasta","ECOR-40","PRJEB20550","234","234","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","F",NA,"No",NA
"57","NT12057","D5",1.23261234992357,12.2548666666667,8.85146666666667,5.44236666666667,0.811666666666667,2.66814315645419,0.95802360270159,1.53899892895783,0.878463467273018,"F","NT12057_235.fasta","ECOR-41","PRJEB20550","235","235","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","F",NA,"No",NA
"58","NT12058","D6",1.39958667011108,14.8388333333333,10.5712,7.80973333333333,2.3873,1.03635444869665,0.412222063941269,0.21133218716829,1.32762255178194,"E","NT12058_236.fasta","ECOR-42","PRJEB20550","236","236","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","E",NA,"No",NA
"59","NT12059","D7",1.32065104498214,14.9237,10.2292666666667,8.00866666666667,1.47106666666667,0.714147176707994,0.303953571015926,0.550076470441459,1.37852109281408,"E","NT12059_56.fasta","ECOR-42a","PRJEB20550","56",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","E",NA,"No",NA
"60","NT12060","D8",1.00367336003159,14.1832,7.7571,5.5299,0.9483,0.60214260769356,0.787239410852887,1.18473692016414,1.06414234480167,"D","NT12060_237.fasta","ECOR-44x","PRJEB20550","237","237",NA,"PG1","PG1_1","1","ECOREF","normal","normal","D",NA,"No",NA
"61","NT12061","D9",1.0750778239091,9.1767,6.4521,3.4099,0.00366666666666667,0.383373016786524,0.631449055744009,1.06741864795403,0.00321455025366432,"F","NT12061_238.fasta","ECOR-45x","PRJEB20550","238","238",NA,"PG1","PG1_1","1","ECOREF","normal","biofilm","F",NA,"No",NA
"62","NT12062","D10",0.988191045014366,10.0234666666667,5.4458,4.28846666666667,0.170833333333333,0.567402690629268,0.22309856566101,1.0411486029061,0.203644207708772,"D","NT12062_239.fasta","ECOR-46","PRJEB20550","239","239","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","D",NA,"No",NA
"63","NT12063","D11",1.06239779940257,17.0620333333333,9.70756666666667,6.6512,1.7679,0.949494214481232,0.682334333983959,1.24458068842482,1.00213617837098,"A","NT12063_57.fasta","ECOR-19b","PRJEB20550","57",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"64","NT12064","D12",1.38104633401222,16.7594666666667,11.8342333333333,8.3286,2.98276666666667,0.194602218212776,1.40495506096577,1.39521795071594,2.20847423651111,"F","NT12064_748.fasta","ECOR-48x","PRJEB20550","748","748",NA,"PG1","PG1_1","1","ECOREF","normal","normal","F",NA,"No",NA
"65","NT12065","E1",0.570508166969147,12.673,6.0143,1.21125,0.0045,1.31323871401966,0.118652517883103,0.254204887836564,0.00636396103067893,"D","NT12065_240.fasta","ECOR-49x","PRJEB20550","240","240",NA,"PG1","PG1_1","1","ECOREF","normal","normal","D",NA,"No",NA
"66","NT12066","E2",1.33558175981811,10.1453666666667,7.7955,5.43966666666667,0.3148,0.712630944692505,0.817615869464383,0.622341388092849,0.332256482254297,"D","NT12066_241.fasta","ECOR-50","PRJEB20550","241","241","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","D",NA,"No",NA
"67","NT12067","E3",1.44535287500611,16.3570666666667,11.8539,9.077,2.71083333333333,0.583223167692552,0.835254188855105,1.22200759817605,2.14078222230411,"B1","NT12067_242.fasta","ECOR-67a","PRJEB20550","242",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","super_bio","biofilm","B1",NA,"No",NA
"68","NT12068","E4",1.74153810356117,12.3199333333333,8.95466666666667,7.86943333333333,4.63153333333333,2.07863451894106,2.31343342314693,1.0095206255116,0.680887247151342,"B2","NT12068_243.fasta","ECOR-52","PRJEB20550","243","243","Commensal strain","PG1","PG1_1","1","ECOREF","normal","biofilm","B2",NA,"No",NA
"69","NT12069","E5",1.14883959668585,16.9495666666667,9.50033333333333,7.25176666666667,2.72023333333333,0.937732804872119,0.429666781742938,0.777986075282413,1.3782138670516,"B2","NT12069_244.fasta","ECOR-53","PRJEB20550","244","244","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"70","NT12070","E6",1.39970233454479,16.6742,13.6296333333333,9.38673333333333,0.32255,4.14681656334109,4.87894265628664,3.79711727147494,0.317137391362167,"B2","NT12070_245.fasta","ECOR-54","PRJEB20550","245","245","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"71","NT12071","E7",1.03062063000072,13.873,6.73103333333333,4.7503,2.81646666666667,1.73351474467338,0.327329716544852,0.262449156980928,0.581221836593683,"A","NT12071_246.fasta","ECOR-14c","PRJEB20550","246",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","biofilm","A",NA,"No",NA
"72","NT12072","E8",1.25740296840122,16.1725666666667,10.1564,6.61623333333333,3.5628,0.252304267370437,0.212431094710732,1.33654044582771,1.27755931760525,"D","NT12072_58.fasta","ECOR-56x","PRJEB20550","58","58",NA,"PG1","PG1_1","1","ECOREF","normal","normal","D",NA,"No",NA
"73","NT12073","E9",1.15772511460566,14.6662333333333,9.89933333333333,6.16886666666667,0.911266666666667,0.0970231587474519,0.342588008157514,1.50310755547743,1.1914361138279,"B2","NT12073_247.fasta","ECOR-57","PRJEB20550","247","247","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"74","NT12074","E10",0.777121514445246,15.9037333333333,8.2121,4.1156,0.0314333333333333,0.437174305435868,0.841513654078174,0.190386449097618,0.0421267531781567,"B1","NT12074_248.fasta","ECOR-58","PRJEB20550","248","248","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"75","NT12075","E11",1.33579385635443,14.0665666666667,9.79056666666667,7.28006666666667,1.7194,0.529221176195108,0.216814213863698,0.900002135182652,1.47343790843048,"B2","NT12075_249.fasta","ECOR-59x","PRJEB20550","249","249",NA,"PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"76","NT12076","E12",1.31770641709209,16.7609666666667,12.5829333333333,7.91516666666667,1.58793333333333,0.421374243794437,0.280890322605342,1.18468135940992,1.45488262871385,"B2","NT12076_250.fasta","ECOR-60","PRJEB20550","250","250","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"77","NT12077","F1",1.25390307742462,17.6890333333333,11.2775333333333,8.67536666666667,2.22743333333333,0.64816653209907,1.06503788352027,0.812987824837084,1.53590935387911,"B2","NT12077_251.fasta","ECOR-53a","PRJEB20550","251",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"78","NT12078","F2",1.38145192217683,11.0387,8.34826666666667,5.60576666666667,1.2954,0.361816431357118,0.859663273225821,0.781118821520346,0.958607839525632,"B2","NT12078.fasta","ECOR-62",NA,"NT12078",NA,NA,"PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"79","NT12079","F3",0.598900847263568,13.101,5.6441,2.19523333333333,0.00686666666666667,3.09333656914342,0.757111821331565,2.43042328069276,0.00868926540815352,"B2","NT12079_253.fasta","ECOR-63","PRJEB20550","253","253","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"80","NT12080","F4",1.45358120369649,16.6969,11.9705,9.3884,2.9114,0.515782017910668,0.552887900030377,1.038563435713,1.44984127062241,"B1","NT12080_254.fasta","ECOR-67b","PRJEB20550","254",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","super_bio","normal","B1",NA,"No",NA
"81","NT12081","F5",1.0078143520482,15.3265,9.59433333333333,4.8697,0.982233333333333,0.152437232984596,0.438050708632384,1.20428530257576,1.19747574644889,"B2","NT12081_59.fasta","ECOR-65x","PRJEB20550","59","59",NA,"PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"82","NT12082","F6",1.64032053184543,14.0391666666667,10.2579,8.36,4.41083333333333,0.437396860223451,0.173466192671656,0.982618028533977,0.34087467393946,"B2","NT12082_255.fasta","ECOR-66x","PRJEB20550","255","255",NA,"PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"83","NT12083","F7",1.07588097102584,15.7496666666667,10.1381666666667,6.70656666666667,0.100033333333333,1.0270754418899,0.84849357294757,0.279470254827474,0.0903817643849318,"B1","NT12083_256.fasta","ECOR-67","PRJEB20550","256","256","Commensal strain","PG1","PG1_1","1","ECOREF","super_bio","super_bio","B1",NA,"No",NA
"84","NT12084","F8",1.67469202065123,10.4336,8.14976666666667,7.00703333333333,2.31626666666667,0.504989029583812,1.22935333136301,0.867588475795601,0.526037511336723,"B1","NT12084_257.fasta","ECOR-68x","PRJEB20550","257","257",NA,"PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"85","NT12085","F9",0.861099897334172,16.2663666666667,9.2694,4.64453333333333,0.0930333333333333,0.933758460916598,0.93497800508889,1.20567681131111,0.0751490075339211,"B1","NT12085_258.fasta","ECOR-69","PRJEB20550","258","258","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"86","NT12086","F10",1.39668654056216,14.2509666666667,10.8373,8.13376666666667,0.933066666666667,1.74172259655013,1.33969225197431,0.621216728149954,0.690142538417488,"C","NT12086_259.fasta","ECOR-70","PRJEB20550","259","259","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","C",NA,"No",NA
"87","NT12087","F11",1.53745829023443,11.6979,10.3635666666667,7.4919,0.129566666666667,0.715251361410797,0.446518648360103,1.7255672226836,0.102702986000083,"C","NT12087_260.fasta","ECOR-71x","PRJEB20550","260","260",NA,"PG1","PG1_1","1","ECOREF","normal","biofilm","C",NA,"No",NA
"88","NT12088","F12",1.48842559503742,12.3591666666667,11.825,6.4642,0.1065,0.413843525179909,0.525632228844464,0.921456390720689,0.139536231853953,"B1","NT12088_261.fasta","ECOR-72","PRJEB20550","261","261","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"89","NT12089","H5",1.19404922761524,15.7391333333333,10.3987333333333,8.18453333333333,0.210033333333333,0.585601044511819,0.853975417288656,1.09284953371145,0.302377087976806,"B2","NT12089_32.fasta","ATCC11775","PRJNA59555","32","32","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
