"","Strain","Well","Bact_score_mean","Mean_Bact_metf_0","Mean_Bact_metf_50","Mean_Bact_metf_100","Mean_Bact_metf_200","SD_Bact_metf_0","SD_Bact_metf_50","SD_Bact_metf_100","SD_Bact_metf_200","phylogroup","fasta","Strainname","Accession","Assembly","Annotation","Broadphenotype","PG","Plate_Well","Plate","Origin","Annotation_0mM","Annotation_50mM","phylogroup_Ctyping","mash_group_Ctyping","Discard","Notes"
"446","NT12457","G1",1.54253163932183,14.8575666666667,11.3441,8.69993333333333,2.87423333333333,0.677327648434148,0.495511927202565,0.618912565176483,0.326768807160863,"B2","NT12457_191.fasta","TA014",NA,"191","191","Commensal strain","PG5","PG5_5","5","ECOREF","normal","normal","B2",NA,"No",NA
"447","NT12458","G2",1.25240289159236,14.7738666666667,10.5505,6.8536,1.09873333333333,0.542794457721643,0.197182428223207,0.31231849128734,0.483929233807313,"B2","NT12458_192.fasta","TA103",NA,"192","192","Commensal strain","PG5","PG5_5","5","ECOREF","normal","biofilm","B2",NA,"No",NA
"448","NT12459","G3",1.10073551133239,15.4586333333333,10.2732333333333,5.00443333333333,1.7382,0.411618723254098,0.478375274584016,1.27258485113305,1.13864510274273,"B1","NT12459_193.fasta","TA141",NA,"193","193","Commensal strain","PG5","PG5_5","5","ECOREF","normal","biofilm","B1",NA,"No",NA
"449","NT12460","G4",1.21634990484989,15.0814333333333,10.4632,6.4631,1.418,2.34389166202991,1.07262557772971,0.14267273740978,0.125179750758659,"B2","NT12460_195.fasta","TA464",NA,"195","195","Commensal strain","PG5","PG5_5","5","ECOREF","biofilm","normal","B2",NA,"No",NA
"450","NT12461","G5",1.13103559145117,14.7217,9.3707,5.39156666666667,1.8885,1.9462302561619,0.989360217514329,0.858829350530903,1.40688347420815,"Non Escherichia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","NT12462","G6",1.06262988407042,15.5266666666667,9.7093,5.8989,0.8909,0.625792747907271,0.359691909833958,0.420615881773383,0.536991405890262,"B1","NT12462_213.fasta","B646",NA,"213",NA,"Commensal strain","PG5","PG5_5","5","ECOREF","normal","biofilm","B1",NA,"No",NA
"452","NT12531","G7",1.26123928764582,15.5933666666667,11.0012,7.00696666666667,1.6588,0.899889939566686,0.25095575307213,0.386521206835192,0.22004928993296,"B1","NT12531_172.fasta","SE11","PRJNA59425","172","172","Commensal strain","PG5","PG5_5","5","ECOREF","normal","super_bio","B1",NA,"No",NA
"453","NT12532","G8",1.26744839176425,14.8361333333333,9.21706666666667,7.08833333333333,2.49863333333333,0.445753130480688,0.0249788577267526,0.564533978900591,0.411953569390208,"B2","NT12532_179.fasta","SE15","PRJDA161939","179","179","Commensal strain","PG5","PG5_5","5","ECOREF","normal","super_bio","B2",NA,"No",NA
"454","NT12533","G9",1.37905269815845,13.4023666666667,10.3336333333333,6.69716666666667,0.974033333333333,0.824534719301337,0.362183673477054,0.677749403049042,0.381561978364372,"B2","NT12533_5.fasta","APEC01","PRJNA58623","5","5","Pathogenic strain","PG5","PG5_5","5","ECOREF","normal","super_bio","B2",NA,"No",NA
"455","NT12534","A1",1.36663848896097,17.4290666666667,13.1354666666667,8.8491,1.83466666666667,0.991271513427745,0.49181309796846,0.579997767237081,0.793579462519875,"D","NT12534_659.fasta","NILS1","PRJEB20550","659","659","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","D",NA,"No",NA
"456","NT12535","A2",1.34613233560356,17.1055,12.0498666666667,9.69106666666667,1.28533333333333,0.382988916288709,0.530979192938229,1.24790047813651,1.05941260297078,"B1","NT12535_660.fasta","NILS2","PRJEB20550","660","660","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","B1",NA,"No",NA
"457","NT12536","A3",1.36637558775549,14.9367666666667,11.9018333333333,7.48043333333333,1.02696666666667,0.920981467421215,0.350514654948025,0.681768702224833,0.497345114918538,"A","NT12536_661.fasta","NILS3","PRJEB20550","661","661","Commensal strain","PG6","PG6_6","6","ECOREF","normal","normal","A",NA,"No",NA
